,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G7,G8,G9,G10,G11,G12,H7,H8,H9,H10,H11,H12
,11,4273.56868886213,4289.14104157562,4227.52339275898,4305.04457606414,4601.68731885127,4671.59078508883,4306.9483467686,4236.58503227325,4227.29075730283,4215.58780185689,4301.14380191059,4283.74231588308,4240.22544915003,4228.73591873516,4227.74308256326,4216.51075363246,4329.9885566563,4349.08436707244,4222.10382617311,4183.40934708517,4173.87157268096,4073.59543652316,4297.36586309603,4275.11700425057,4217.87701782739,4177.99509000437,4155.63090792481,4172.55655388521,4226.59877855047,4312.51319092162,4309.42824039771,4302.90627832005,4217.70012023396,4192.47168425234,4496.95697709668,4511.27685382921,4302.50143466469,4318.47958072644,4341.65880453169,4347.2541887727,5439.14837737019,5134.58951006581,4472.18577878045,4453.02453217297,4478.72655484991,4421.46260529481,5837.23762160951,5981.26589208097,4298.82589563126,4217.55693869832,4246.51287682828,4263.71545331128,5039.40811743047,5046.77419854618,4358.29792279455,4360.0096612391,4357.4026904722,4373.31906281476,5743.99961147459,5881.74203504132,4119.67263769111,4178.05381039134,4141.88249064582,4149.18337614139,4267.65189304148,4275.59089061656,4416.71141320422,4376.36350076526,4302.90024751185,4273.01289374568,5358.75814981617,5416.29999072547,4256.42669255971,4273.92772884175,4215.07916357204,4229.57514347353,5184.68896542077,5074.95334899971,4294.61625255927,4255.77084504488,4235.19300718057,4303.05697363919,5582.13802296932,5370.31971511992
,12,4271.97581362837,4293.91775977384,4262.6488439569,4337.72583336249,4828.01908471144,4904.88007676094,4304.54667122768,4237.40787808908,4229.8666764289,4216.929229694,4303.30591653805,4284.74340387575,4239.11593517369,4226.90094421754,4243.21694586649,4233.90794550361,4351.91891312514,4370.03954822915,4218.41299689208,4190.94844754541,4176.14027200962,4075.90811824506,4297.30181896102,4278.09046838844,4221.49797399453,4176.21494801618,4156.00031480558,4173.75406648365,4228.79448836548,4307.46342882203,4311.13210261721,4308.55222780489,4242.1494214872,4214.21025285559,4611.67699846163,4616.30495196206,4304.49696133478,4323.67882599636,4393.59619124705,4405.77026891053,5888.52877335247,5626.9838949017,4479.28243883452,4462.00589586649,4547.50088980068,4492.78681512207,6468.98760164416,6655.88951984976,4305.62490038806,4221.23777830129,4282.3141042061,4295.28234854143,5532.88721058026,5523.61101506353,4363.54736513822,4366.45811484412,4416.2261220768,4434.28050334091,6394.49206715561,6547.90919104516,4115.40705468762,4175.78102713833,4150.54587437839,4148.02294624854,4268.51752712942,4283.62150030521,4424.83067172504,4381.18462988608,4325.45240768167,4295.26968803175,5975.29806259413,6062.8507209428,4255.10118041327,4276.98934095976,4222.68041260642,4239.03347109541,5764.94928086223,5620.40720391841,4302.33606505921,4261.35773606402,4249.24866650743,4321.41195209746,6266.08014416367,5972.50989213996
,13,4275.99049096597,4296.79972607232,4314.7114361378,4404.6358886995,5222.22155861372,5330.98413729411,4309.48111815612,4239.81770909012,4238.57269985425,4227.3357790136,4304.79576936782,4286.42417419254,4238.30219237955,4230.05783827631,4250.9977009473,4240.70797197932,4389.46657420398,4406.73773203627,4221.01733302935,4184.19036116702,4176.05050564069,4076.17152591557,4298.72840069,4282.84397104171,4224.06104222064,4182.09462240997,4155.66731937071,4178.15944351696,4230.64665358556,4313.29458057508,4319.17146587778,4304.32889008933,4288.45326812607,4252.43074185536,4815.31356591354,4812.57621688528,4312.52654437032,4336.20553341863,4483.94000099526,4494.96988267576,6480.07212063026,6279.02787273657,4490.594768649,4470.13232610268,4683.51494563974,4614.45569225811,7159.29165107979,7373.33053167328,4303.82924725879,4230.45381472743,4346.01458789052,4361.65984583517,6193.32328099516,6159.7823520295,4371.35415251278,4369.4785708614,4526.32647593301,4541.2512583546,7092.58823686893,7270.43585246938,4113.35895057819,4177.32348646537,4151.59817694012,4153.5465848545,4279.61654681989,4288.34274572299,4439.56840056904,4386.94952747683,4349.1615159475,4323.97796384424,6694.05840801943,6812.63282698968,4268.71518205277,4283.19038196878,4241.63969319509,4254.18526530789,6512.83380492675,6332.25546666339,4312.7499340705,4262.02843415261,4288.53846328596,4347.10785052028,7035.46860824124,6664.33453357114
,14,4277.6014431313,4303.1579885481,4433.69809675854,4528.55424791502,5810.25118995089,5950.61289981756,4309.26017097324,4236.89098169796,4250.42754368554,4238.41395294502,4309.89778986299,4288.04863868499,4243.53567266933,4229.11997126007,4281.08977855297,4272.57070579011,4468.51610563037,4486.51524278498,4230.57388225643,4191.48908404289,4182.38194967177,4083.27922529225,4303.3538144914,4282.08764216109,4219.00901077242,4182.31038803293,4158.4223216246,4182.26123445656,4227.16788342729,4312.35268914228,4317.92942483864,4305.37062101041,4374.9674560351,4342.51290809728,5179.63362443213,5164.42908285963,4313.09912328308,4336.15438716871,4662.32871583458,4674.50339814534,7131.29101132972,7019.70468164028,4498.97665010828,4487.86433514397,4940.01076949604,4852.2592720066,7894.59042990548,8147.09041354484,4309.27911670725,4228.22558436921,4466.63583199617,4495.3039811356,6898.59202547976,6852.64614438863,4377.38653599195,4376.60570648389,4722.79998081825,4747.07540843484,7823.80307892009,8024.27416139962,4113.28462044908,4183.73662089857,4164.14463739285,4169.6963702934,4286.80426736988,4297.1690553158,4444.9889069559,4402.22294413289,4403.48979061585,4380.03445846993,7431.41041047058,7576.85136519965,4273.5860141924,4289.73460222633,4267.75729618584,4284.19255213072,7283.51404394322,7083.84800351695,4316.83167925873,4280.05112409516,4336.44969862123,4396.84624255178,7813.51052901806,7376.05353409326
,15,4280.997528446,4303.25116135249,4643.74755966718,4752.23968004624,6467.17836043077,6660.23142249368,4307.10372890455,4238.17092248013,4270.76782676661,4254.7736530354,4317.29349064946,4296.75479970532,4245.11152473923,4229.81034089945,4338.11300467557,4327.59984618469,4611.91660710605,4638.0501261429,4231.15650738786,4185.15824714647,4196.62735370771,4084.85250856498,4310.84847643002,4289.33670396791,4224.40567720506,4182.66539947102,4163.43542689637,4187.68464320295,4230.12684092125,4314.54924504601,4315.79276021369,4312.43891139674,4535.00226062146,4497.04316894944,5729.56899924489,5698.80713980724,4321.32224973152,4342.93498859457,4988.26683930831,5017.61669386872,7723.74461576072,7710.74361507502,4508.41707784025,4495.63381640294,5388.59595134647,5272.22751339068,8629.40390045388,8915.75496567156,4312.95493442119,4236.51798127442,4704.22994939184,4734.7503228445,7582.52399122356,7523.86216316051,4388.23757039767,4387.36456802168,5092.47622140536,5119.36169017397,8544.49317970999,8772.45597060169,4115.53775037097,4179.74968858849,4188.49485295937,4188.36138180867,4307.14027123399,4316.63272560318,4458.48116663243,4405.36277064084,4495.02407851804,4471.93014534003,8151.30827730198,8325.62989758929,4277.49096609717,4292.63201028945,4318.08624058155,4332.51880365717,8030.56258362464,7798.14056575084,4328.13921759468,4287.95496522405,4429.18042327868,4487.67674602677,8567.99045733714,8098.54931236484
,16,4283.84141089389,4314.28940324244,5034.24688537957,5179.35677536035,7216.75163538557,7470.36712173717,4310.54293292248,4242.84780993222,4310.62809200446,4286.27981993812,4329.05331337167,4307.8558787087,4244.87904644673,4233.29915721679,4428.26703221382,4421.63297506792,4877.77616805855,4908.64883723897,4229.81926616649,4191.44206240694,4211.69677697017,4091.56107763087,4318.37799971791,4296.3627236724,4220.12857827936,4176.09378906723,4172.40054588646,4189.68953350302,4227.64591557204,4315.05620134442,4324.95531423692,4318.30526604651,4849.16752604772,4807.38488027135,6451.10545257211,6441.16052372364,4329.9930018813,4348.4908868069,5553.21597672816,5592.86921307246,8475.08333021481,8541.49347911725,4530.56343667001,4514.78328053581,6109.20306361166,5958.32484007298,9487.35201937388,9801.37877607908,4318.4289094707,4245.18256815546,5126.77120230561,5174.44017927232,8380.11955231654,8327.65811184829,4400.30809079087,4396.01796024657,5723.49655142645,5749.13950487446,9376.02613638202,9629.04085699429,4118.01765391744,4179.67169722623,4207.38465694132,4218.57353463318,4345.10365921765,4349.52471071671,4472.56651238674,4417.31434588447,4660.33059609261,4640.88207970996,8997.14700357018,9207.15907141598,4285.17504972583,4298.90315080418,4412.51773288702,4433.67614957572,8887.00783134072,8631.17445898146,4341.52210405886,4297.65100121258,4598.83396388296,4641.6335033505,9448.25204834004,8923.93168016301
,17,4290.43966885484,4310.60501075315,5641.27174047722,5856.97622684492,7988.71314304167,8285.52679021028,4316.94993491616,4244.55657735922,4384.68794639595,4352.6855202563,4346.23776466422,4328.3057143083,4246.50610420652,4233.666710607,4612.89085290181,4618.295375934,5345.65824391691,5392.25901797784,4226.60506064867,4194.93928521599,4240.07832061645,4110.54248260579,4336.67829263379,4313.81273716829,4225.16401397083,4182.61611272174,4178.91633559379,4199.39600856893,4228.38614157859,4314.36701308825,4327.79270913371,4322.11535422249,5396.9116350162,5330.86149927161,7195.81236137258,7211.11969168203,4347.24383764237,4373.65214346027,6361.54986865308,6434.27368466626,9200.84138121943,9370.28040646397,4563.54473822468,4544.14975277886,7016.9552844448,6823.11754394298,10300.5691801019,10634.204629514,4332.47258545938,4253.97779668821,5809.18768958174,5870.16198687496,9198.8531071035,9133.00036057584,4417.87753173001,4421.52983790652,6562.84200873304,6599.35417216716,10184.1320337881,10453.4935582372,4119.64935679531,4184.06219893175,4286.10701943413,4294.34842191511,4418.95027880593,4419.47209391458,4482.96913192986,4432.40977459962,4971.03164955691,4960.77553538699,9818.17332539941,10060.4513327505,4293.86095630057,4306.900210784,4577.61338458368,4614.80753904969,9726.66558445055,9439.22116836026,4353.8646467856,4307.00973570824,4910.26341116424,4931.27144337242,10293.7539570592,9727.0583864981
,18,4303.97563042202,4322.598062949,6460.89359892137,6801.57660354667,8838.63202645905,9211.00473584663,4318.19331199841,4250.90310801353,4540.76002412386,4481.56420729917,4382.74766821724,4358.98277743826,4257.47628973564,4240.11663617652,4967.03941789903,4985.6168176947,6049.09941923738,6100.45251954315,4236.34696656791,4197.18003062567,4303.39191480264,4149.54582887346,4364.78704902514,4349.32496616575,4227.06387231938,4187.60069766149,4207.70761650815,4228.86538270086,4236.78209864788,4320.48431184443,4341.65802338193,4332.21525215396,6213.9373088979,6125.15226481011,7993.02006016455,8038.38217315734,4377.65921720495,4401.69839343922,7336.97458132636,7450.25258541912,9982.06591940023,10262.2845844115,4614.20902968264,4598.61360123965,8023.05463798743,7812.34874240602,11134.3484477798,11485.746584542,4347.97189561015,4275.10015912878,6717.53008574432,6804.54334984116,10047.9110361685,9975.06324808127,4452.73033952794,4452.6974484061,7541.89534433969,7588.25832399062,11001.792577012,11284.16853627,4126.05715263512,4190.8503530972,4418.24761406219,4434.42116066357,4558.78293757653,4551.19885610826,4505.2859749013,4448.98487475866,5528.84951838396,5531.07253192255,10657.4878015534,10927.6044556817,4304.6808418472,4321.39345357084,4906.08000748173,4954.97676588382,10610.4724318113,10297.9564839583,4371.77426476586,4327.68879201272,5474.36065373392,5459.39334855052,11159.4694241949,10540.362055834
,19,4315.03469597173,4333.91519491504,7277.41292577991,7757.85596111013,9575.62078429841,9995.73703067314,4320.201066854,4250.69028539101,4824.95801896882,4722.23261498869,4455.34718715364,4422.83383213318,4259.14581081728,4247.89885451501,5541.23491664916,5594.31397694713,6787.7402511396,6827.56812582814,4233.57352279959,4196.13207204516,4424.28957196595,4217.9545577367,4430.31349717613,4405.00105114914,4229.20548811714,4183.93615596957,4248.39845910266,4262.44897590337,4236.50334978407,4322.88935989939,4356.67450944879,4349.14402753456,7126.81368829582,7009.35825497816,8720.13242847383,8788.41724204223,4432.20938750529,4456.09869514324,8181.97736735044,8352.14296137996,10631.9267442079,10963.9771575102,4705.9181671703,4695.52660132851,8910.50875724648,8669.82186193639,11804.2106837217,12167.6956939832,4383.89000545553,4312.32374115517,7624.26887691377,7710.0105577771,10758.9466824575,10693.0374534005,4516.88479828999,4519.66431046237,8402.00400905962,8454.29351361975,11657.4556662693,11960.3324569384,4129.07787418272,4199.29062161962,4668.6109164181,4707.13713782898,4810.41342792768,4790.98042061825,4536.5998611402,4482.45668801681,6341.84751457531,6348.90663988351,11351.4062374286,11648.8621747823,4318.53317246076,4332.56324217587,5466.76349074486,5534.21539931165,11332.5782065232,11013.2567093202,4393.75146748483,4350.51892981242,6272.3993885162,6231.06371198415,11856.6684499427,11219.1636650316
,20,4338.25381441321,4362.37515587027,8239.00639752084,8876.20360973803,10485.2140986382,10957.1770162181,4336.02568975739,4265.45241209945,5333.70939301838,5166.00960276166,4588.29731348944,4552.17935867321,4277.01854814817,4260.89259020845,6389.61405801523,6502.74951613025,7674.80940841515,7713.87069500802,4245.77922665888,4206.3936508965,4658.64895791401,4351.6580244754,4558.50610332458,4528.09956487201,4230.90765552145,4188.99251265271,4341.28692036554,4351.72431950304,4242.56137383383,4330.44430515068,4402.29442687804,4394.80932130083,8185.99195239268,8030.15643397158,9656.70249499517,9746.27767131354,4541.9057778771,4559.51899814023,9187.9015257123,9396.89200172336,11385.1557548789,11840.4529807286,4890.30781050419,4878.28175121639,9920.1434665485,9701.86830680324,12589.6631310358,12977.160139757,4457.7882177214,4381.52918744176,8635.73503267874,8741.23840169426,11597.9190286618,11537.9768252995,4642.49342197836,4637.79841163064,9410.33436111225,9473.17192081546,12419.2049915022,12722.3116524047,4138.98624260447,4205.98196240305,5130.679410422,5211.21851389966,5276.92669460363,5232.24466570204,4592.86999256687,4534.32458652926,7403.53987807566,7410.76639428643,12149.6243250165,12467.8645093053,4344.45495625036,4359.32607252956,6347.99354146641,6435.93370829268,12179.141506141,11828.0265566298,4449.57160267651,4400.70278920362,7312.40263537809,7247.23627334077,12660.8076318059,11984.1714290751
