,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
,11,4129.76037283752,4177.19127045525,4188.63933916477,4213.47163625859,5246.35141492654,5348.70708706618,4140.9196233924,4144.52785361863,4166.83684218264,4162.47711302754,4843.41804241873,4830.01079356152,4114.73913724169,4142.34965534631,4197.14483822856,4161.19547085385,5228.13751793266,5277.51478742991,4179.57088291646,4126.60636127963,4201.61450495724,4147.49308282968,5017.78831120649,4920.56184850333,4127.59935701279,4092.32365239284,4128.35879437574,4114.18554189941,4966.19561038234,4972.86503063947,4254.48760701539,4179.40784608477,4271.21865469884,4217.06534404671,5308.71583365438,5226.67845344206,4105.14222238951,4145.26556974775,4196.73587039334,4189.44336190268,5394.07847074282,5361.75936579542,4207.08621463599,4208.54237121246,4196.22137292788,4166.39561645876,4998.73192295372,5241.26917833194,4106.7234675749,4127.59669872372,4179.38669877709,4154.05684499296,5229.43174509471,5190.67995073733,4186.55263171668,4162.92276443425,4182.5161548818,4120.75988511361,5250.40889780264,5197.64221268219,4053.44905143136,4106.64435181448,4167.92003996808,4117.02780087512,5254.22603701587,5265.64989737996,4231.7007729287,4179.29783854716,4178.54008193137,4168.18655418354,5244.92125113815,5219.5290852833
,12,4143.98458760249,4183.18666489339,4204.21621736347,4232.8131964275,5868.59919124336,5993.50963179407,4147.9391959537,4150.9954053966,4180.85440485852,4175.87245718417,5308.08850353922,5290.15293000846,4125.75091313774,4154.0185411059,4206.34974418299,4177.43985206071,5826.96613542949,5899.42448428585,4184.79633658621,4137.62072517833,4219.16341513093,4164.72206239562,5527.67518052876,5348.87473603774,4130.52436611657,4099.98472256922,4139.69444097953,4128.11879608613,5494.49528147329,5502.05628715548,4264.64537998142,4191.32452171181,4293.29532015852,4241.50275944206,5907.88703185711,5767.19301037388,4107.98871482284,4153.23492007628,4209.96692321443,4196.94060626221,6049.84424680285,6011.0122437181,4215.05134287355,4217.51469072436,4219.7497966937,4185.84182081179,5528.62554952541,5812.84175515088,4117.83589340693,4133.39237340348,4194.08047975512,4172.71048231559,5840.39460876047,5781.48914003063,4191.88722809786,4172.64867562945,4199.92366736564,4145.44593061589,5873.78218764168,5803.99630487007,4065.32204180181,4115.83051309085,4181.18827661078,4131.50351817113,5894.82419531683,5900.35832422472,4237.08387826727,4190.66011095564,4195.93123384965,4186.75317329749,5858.17537751675,5787.48410667005
,13,4149.11359963006,4194.40933961308,4225.11391194534,4253.88546155458,6587.52480399071,6741.62901042476,4154.05950015791,4155.02726962829,4196.15158580119,4192.03787404988,5915.94142686664,5869.29222785055,4131.33710686615,4164.47167830171,4236.05220628909,4200.06521618483,6527.39606591696,6629.70143462028,4195.26325134953,4135.92790075772,4236.75867137014,4192.0026151597,6162.85386515163,5844.77317535861,4141.09203112707,4104.53472216457,4157.11639231372,4141.11702895347,6164.88392549071,6198.02551878134,4275.27975726765,4200.00322799503,4329.17654139059,4276.69882785438,6589.02315283656,6344.92573669143,4112.28901368197,4164.53054800805,4234.3160571318,4225.48515142087,6787.0583746821,6737.45354821108,4225.94981584038,4228.27696954404,4247.25474088012,4224.18154750862,6180.85755304702,6429.76926300954,4124.65822860946,4140.47392120003,4216.53919440794,4197.1393831261,6554.18719810758,6486.51601596529,4192.23635330746,4175.20577946936,4236.57568915789,4180.04252577012,6578.86581921467,6460.41937530491,4067.48550017097,4115.89673193654,4198.53953192072,4151.906405315,6611.28287999657,6610.85067604155,4241.60299447695,4187.91682149114,4226.99586945353,4217.46411424401,6556.59813320922,6430.74970386852
,14,4155.73973220231,4201.59971209858,4274.02435023957,4296.18002030274,7334.55313012347,7520.88520924001,4160.32360174873,4164.83272389176,4214.14874623846,4215.40363061815,6577.70711348851,6479.91205359052,4137.96353502591,4170.19471541093,4269.73459868837,4227.50616102477,7253.15107712262,7367.2709855882,4196.86541984863,4148.06190233044,4277.43315043494,4224.11756446068,6836.73975515713,6356.97324793104,4144.51754257393,4113.55741572453,4180.67628184162,4163.5767822545,6863.46563814086,6937.61086933858,4287.58948842097,4207.72834487168,4380.31228898128,4332.23267767898,7293.77969287441,6944.46165975024,4123.91715766132,4175.12250722956,4278.90259076047,4268.88128034455,7556.60124320642,7475.81073283936,4237.69986308585,4238.88041081289,4306.45645577664,4287.92887325308,6855.82461610851,7074.78744231281,4130.63034444487,4151.61911700355,4262.47617428283,4231.11107910205,7283.36446437553,7194.94297456411,4206.89829808245,4185.00285768341,4299.78443976641,4246.13647002067,7291.33965053701,7146.9181455262,4076.39555196569,4130.03718343202,4247.79117825567,4196.80562725317,7363.49239846985,7352.54260577724,4255.77495354743,4205.03660749125,4282.90090631761,4285.83587291455,7283.40974079385,7095.95950948986
,15,4161.22211979029,4207.96825461275,4342.66350791066,4364.8868480459,8151.44180137891,8366.98628809211,4171.00153578295,4167.16574884843,4261.69434557738,4266.67467059774,7272.9062321466,7141.81112550499,4142.99605785464,4177.40925022712,4355.01063426432,4298.60572419158,8046.00358214687,8180.3925853909,4206.0014352981,4153.30146762869,4341.04480030231,4301.26613681195,7549.09698082985,6891.90057284814,4147.1549076206,4119.31580038883,4216.46330620765,4208.72947248136,7614.07054018491,7723.23649064595,4295.99183769617,4219.6534365881,4476.01001962849,4437.46080423358,8039.73348732794,7563.90747927417,4129.43686098051,4173.36173559344,4352.44687753768,4342.0928508052,8354.92991151438,8267.20387467674,4245.09226095509,4244.97443213455,4396.41756267382,4401.54423918515,7578.65632762694,7745.35513242179,4136.22915037606,4153.81154770238,4333.76996565452,4300.51251759125,8060.60444421867,7960.01036097828,4213.28799797131,4190.36189076241,4415.43046589139,4364.32033762657,8071.62094741686,7864.17395406198,4084.49481153074,4139.43819362882,4329.29024837447,4271.83044759107,8155.93410782264,8153.23735162286,4259.20555742084,4212.03328499622,4381.19624858539,4392.98687908525,8036.39611529841,7776.05755322885
,16,4169.71807095084,4213.68340693707,4481.26539353811,4500.52660244502,9067.67986244926,9305.62456593863,4172.66228181094,4174.08409728481,4343.65430633487,4361.50411183079,8072.63664996776,7881.58444072002,4158.51564680738,4191.62209351714,4490.18915327449,4432.35441461778,8928.60947837672,9097.90335681061,4211.44468688924,4157.38851580379,4467.07211460529,4443.04391620691,8362.77517594774,7491.72606767284,4155.96360491861,4122.690584985,4300.11701542158,4288.87780760132,8468.42601431586,8614.87719963968,4311.86453005243,4234.17027809562,4658.30657533866,4629.41092477163,8889.31583874218,8271.34676342299,4138.82390170561,4191.75006591684,4498.88800544957,4482.77236069405,9285.84524663404,9159.68448871777,4258.33482024221,4258.393421118,4594.89911513555,4632.63382927176,8384.71742253372,8496.94712430105,4151.94296305389,4163.59208464667,4475.71892888495,4439.2383701743,8945.99846470716,8815.15208541915,4228.45521491637,4200.90711407908,4634.44566351414,4591.03954256837,8914.5647185739,8664.4941352053,4098.9556020685,4146.90682853839,4477.8928622604,4409.94555297769,9037.39814150207,9028.31644565099,4271.6717173159,4216.40790895009,4572.65329900589,4603.30966569066,8866.97202090488,8533.87787042734
,17,4178.18237206749,4226.09191168505,4738.01563874292,4750.89679955794,9938.86051653701,10211.9401241741,4184.71927654319,4188.54984414626,4503.00660838101,4537.53807941508,8850.67457944714,8603.66722401939,4164.48431784733,4192.30676956534,4760.77759861121,4685.29178573925,9758.53249930496,9981.49535020684,4228.11984318341,4176.21371625372,4707.12768318656,4704.63526748244,9148.11973563395,8058.81129766928,4162.90004508214,4133.8413870986,4446.27677412823,4436.01035694766,9286.87498040387,9469.85463476909,4329.83889503133,4243.02483135378,4990.96186949739,4978.80850506214,9686.62721467064,8916.10344122779,4149.5435356998,4201.33035710093,4770.41233178365,4754.19770655669,10149.1948173605,10000.3604740493,4274.67973180877,4273.2609461393,4943.58249069343,5018.95153545436,9159.02633110994,9197.75891186189,4165.11783431179,4179.18822866427,4734.71735266543,4687.11654985014,9773.53485208041,9628.49819580419,4235.04555683779,4214.22751825421,5028.13359282608,4997.54307191897,9708.63821968483,9400.40618967359,4106.9781819667,4157.93902195858,4743.97292029459,4679.58218052914,9881.94117378752,9847.2143270901,4282.98448615212,4228.35033783062,4929.60475734709,4989.24973700467,9672.80577884459,9250.3773296451
,18,4189.71205010589,4236.0174719458,5214.07384371053,5202.78091277405,10815.979513146,11110.3707195624,4195.12579048657,4198.25675291231,4804.88917567331,4875.76982771811,9658.99965507055,9351.41656726667,4173.76318849308,4204.39177751894,5241.8591389465,5143.12905227313,10607.4763733627,10842.2116704186,4240.16821489359,4186.7950178525,5143.44144078447,5182.04669211093,9950.31301635143,8646.46480419532,4163.61498132711,4137.51747329357,4717.58715297831,4704.04704869444,10119.0271095062,10342.194460365,4348.3410620081,4270.32343277359,5582.31478979725,5573.52442624565,10502.3121735869,9574.39156246325,4167.92836211075,4225.42290486767,5262.27251382088,5240.54592201992,11017.4871326039,10838.7540978334,4292.67834892258,4294.09564356666,5553.81270602574,5657.21768878632,9943.04292037244,9903.91781904099,4185.97665351094,4191.91695882186,5207.78778708616,5152.64640380799,10616.9588621258,10451.3544928359,4249.83330186243,4228.21217615203,5704.70016987397,5636.78606205966,10504.2351600218,10143.797601564,4119.47945587084,4177.30137070095,5236.8110182427,5155.76049846269,10713.1111402417,10721.0559878565,4300.30329158657,4248.1194049427,5554.48263158714,5619.94391492015,10467.0714334644,9964.65120924482
,19,4200.92742716156,4252.78668974865,5948.28939208334,5938.22862380691,11641.5215176261,11979.2622933477,4214.35589956892,4212.62613003878,5331.22257406419,5448.4304515791,10441.7934028661,10072.7247931286,4191.58802150561,4228.81200965584,5966.79772061083,5867.96593447985,11438.3041318124,11679.1666503896,4262.27775410654,4205.76669743246,5859.14911272401,5914.3699860606,10744.6764123028,9208.7679087453,4170.37534941446,4139.59063869938,5221.61893082934,5208.37134927172,10927.6066330572,11205.3048243349,4383.67731460148,4298.81448419714,6458.00982795075,6401.94093599109,11276.5050742522,10202.2217577589,4189.35891625214,4241.24487595473,6032.49692018148,6011.34915432077,11848.2658450634,11625.8746806308,4312.39558190131,4322.11413210296,6439.54418447871,6513.40134350398,10696.6837166784,10573.0630841049,4199.99156880166,4208.31750554085,5986.17621915504,5909.34488898765,11414.0319015663,11232.8261430205,4272.83274602858,4254.53713784006,6661.0474591817,6470.57041377625,11281.7759364727,10861.7045310379,4144.33418020436,4202.33281227515,6050.17848485994,5942.47381679174,11524.9059602324,11518.1623210072,4331.74893093491,4272.59549582346,6454.24637923855,6462.68719749867,11247.3834841327,10657.991504388
,20,4222.45356428979,4278.5692138832,6916.79609129224,6930.11857239789,12435.6716343343,12800.1298069242,4245.02970180629,4247.32743879601,6133.6725154772,6317.02942301844,11201.1066394436,10772.2473368157,4208.74144530335,4248.09154247411,6897.98535792368,6838.42186807559,12238.1005350256,12465.5114208302,4301.81326358093,4239.89327304623,6832.21808237996,6871.71192403944,11493.5953134337,9746.85848019969,4178.85179682606,4149.58745695502,5978.9347957922,5994.50490777883,11701.9207306303,12006.559051531,4448.86250677258,4354.5954501688,7550.02055278477,7357.46269423475,12029.3148962848,10791.4494778541,4232.5761923033,4292.18047019665,7057.79149175423,7047.9017926058,12647.034213078,12409.3137079374,4356.9293468634,4366.13460260781,7546.81271081969,7454.09475037544,11416.6831416736,11187.5300660808,4242.96462779646,4245.33433139562,7008.82537351729,6913.36293681969,12207.2481423848,11988.1761324339,4317.10897536449,4294.11894997286,7758.14606036564,7352.69049304206,12010.949093248,11533.6597640168,4179.31705224198,4244.74488833446,7108.37919844494,6972.34972499171,12310.7212970912,12292.6812110374,4380.29684734531,4321.1454336062,7524.36998264838,7367.24182484953,11983.4495945342,11319.9980730762
,21,4256.30557729998,4316.49794951233,7942.47911179224,8005.10696541225,13132.6370563391,13509.9638449965,4308.73549549534,4312.19075815166,7108.93227471882,7335.97784134203,11866.5693970472,11380.6306321862,4243.83754976799,4283.2838733881,7897.34229880694,7862.26796046182,12863.8859676758,13154.6750784191,4364.38345347712,4297.01803841457,7902.91211573195,7834.91290707058,12148.2977624475,10221.9835699444,4191.41913679942,4159.33654660893,6916.79553182259,6968.17633448997,12366.2840418495,12717.2066113741,4560.63853795247,4456.08523955684,8639.37408632749,8238.4079380786,12672.5918430422,11316.660929376,4302.2170239127,4364.19597267795,8145.97621498311,8094.90396210081,13319.4118614146,13053.910525377,4436.53610528081,4442.88526301986,8608.38091792021,8300.28331212844,12050.913550425,11741.5557504844,4318.4976958537,4312.70855335919,8089.25295059533,7976.86269897439,12866.1497375391,12637.0946371071,4392.48268254901,4369.24424875541,8791.10670066811,8140.25553868967,12639.6349094227,12107.2499514169,4247.71019411076,4324.97580320525,8185.03982914211,8035.01167866149,12981.1957972236,13004.0991078695,4466.38452665346,4393.52191073371,8527.79676868324,8174.80079968378,12626.3101639329,11883.8739874546
,22,4313.54387878762,4386.16837420435,9002.98517332536,9114.90158517038,13785.4911557185,14175.4335838418,4416.42387123381,4420.63001415956,8158.91999430933,8429.37584507018,12496.9101773943,11945.6386844035,4305.6112697364,4347.87983133114,8911.91030108799,8920.87759624686,13488.8390554291,13817.7677779055,4485.52294871277,4414.42868887806,9015.00533200729,8779.56778192772,12778.9926344999,10666.595675731,4206.17155237363,4183.37234444775,7937.93053269027,8028.6194628732,13021.6831906509,13392.3686540277,4772.85037095732,4649.56242832403,9739.43920951147,9122.31113995057,13289.9479515735,11801.591356154,4429.7720937901,4501.12921935307,9215.3613004446,9139.32191921506,13988.2808425503,13672.5587582288,4570.34046992501,4584.7354801213,9678.58405871903,9146.81063641722,12646.0949507574,12259.0030670241,4448.72488676805,4425.83196305507,9159.28281946118,9054.62839515933,13496.9420000965,13262.9460218188,4526.55422259338,4497.3376251407,9817.11147858955,8915.99444028937,13237.9921471221,12659.6960209432,4374.0963941761,4473.34111990649,9308.89794788943,9107.7680101839,13614.2143959889,13634.8059101096,4630.4983026687,4548.77332678361,9518.27551319641,8969.78035525398,13222.5409528099,12412.0763793043
,23,4417.79961252924,4515.54787437619,10058.9516908409,10229.8274231934,14371.6186394135,14786.643878329,4624.47384517328,4630.21330384027,9250.18582332666,9528.02705198863,13088.1663341734,12474.1801619436,4407.32757137288,4465.26419824175,9922.02102051966,9962.39818469564,14056.9559705344,14398.2272823639,4724.61369388861,4630.04862786146,10107.9903049053,9696.03470069565,13339.1561586245,11084.176393654,4229.194562091,4201.14636393237,8955.72388860676,9090.47707438764,13599.7413278425,13999.6698742534,5151.13033451732,4992.7984876397,10822.857900654,9968.18360626423,13854.7095866476,12256.4980320501,4674.45037139825,4760.79329494323,10301.9600611661,10170.5468278196,14566.9675351408,14258.7976064767,4833.89170338846,4853.99782792567,10724.6046625176,9954.99161293341,13173.5283855679,12713.5605395556,4695.72158667746,4658.6626486108,10230.5697908596,10113.2895272692,14082.82138917,13823.5477642628,4781.31895939253,4744.89107792889,10807.2176148027,9664.74031665627,13782.7239579262,13153.0581692944,4616.63145157615,4744.13383547689,10374.3595684929,10142.1473463284,14203.1145371848,14232.9649149577,4926.53099782667,4830.0134504117,10478.8976354282,9738.52098020877,13772.0062521583,12911.3980856818
